STATE,COUNTY,UnempRate
19,133,4.9     
19,135,5.0     
19,137,4.1     
19,139,4.5     
19,141,3.2     
19,143,3.3     
19,145,4.4     
19,147,3.6     
19,149,3.4     
19,151,3.4     
19,153,4.2     
19,155,4.2     
19,157,4.2     
19,159,3.8     
19,161,3.9     
19,163,5.2     
19,165,3.1     
19,167,2.9     
19,169,2.9     
19,171,5.2     
19,173,3.6     
19,175,4.7     
19,177,4.5     
19,179,5.4     
19,181,3.9     
19,183,3.6     
19,185,5.0     
19,187,4.8     
19,189,4.2     
19,191,4.2     
19,193,4.3     
19,195,4.5     
19,197,4.0     
20,001,5.1     
20,003,5.2     
20,005,6.5     
20,007,3.1     
20,009,3.6     
20,011,5.3     
20,013,4.1     
20,015,4.9     
20,017,4.1     
20,019,5.4     
20,021,5.1     
20,023,3.1     
20,025,2.6     
20,027,4.5     
20,029,4.2     
20,031,5.7     
20,033,3.1     
20,035,4.7     
20,037,5.4     
20,039,3.5     
20,041,5.1     
20,043,4.5     
20,045,4.1     
20,047,3.3     
20,049,5.2     
20,051,2.8     
20,053,3.0     
20,055,3.5     
20,057,3.8     
20,059,5.1     
20,061,7.3     
20,063,2.6     
20,065,3.3     
20,067,3.4     
20,069,2.7     
20,071,2.1     
20,073,4.5     
20,075,2.3     
20,077,3.7     
20,079,4.3     
20,081,2.6     
20,083,3.4     
20,085,4.2     
20,087,4.9     
20,089,3.9     
20,091,3.8     
20,093,3.1     
20,095,4.0     
20,097,3.3     
20,099,5.9     
20,101,3.2     
20,103,5.0     
20,105,4.2     
20,107,7.5     
20,109,2.3     
20,111,5.2     
20,113,3.3     
20,115,4.1     
20,117,3.3     
20,119,2.7     
20,121,4.7     
20,123,3.3     
20,125,5.8     
20,127,4.5     
20,129,4.0     
20,131,2.9     
20,133,7.5     
20,135,2.7     
20,137,2.4     
20,139,5.5     
20,141,3.7     
20,143,4.1     
20,145,3.8     
20,147,3.5     
20,149,3.9     
20,151,3.3     
20,153,2.5     
20,155,4.4     
20,157,3.1     
20,159,3.5     
20,161,3.7     
20,163,3.6     
20,165,3.6     
20,167,3.5     
20,169,4.2     
20,171,2.8     
20,173,5.4     
20,175,3.5     
20,177,4.8     
20,179,2.7     
20,181,3.2     
20,183,3.2     
20,185,3.8     
20,187,3.3     
20,189,3.0     
20,191,4.8     
20,193,2.9     
20,195,3.1     
20,197,4.1     
20,199,2.6     
20,201,3.2     
20,203,2.8     
20,205,6.9     
20,207,5.3     
20,209,6.9     
21,001,8.7     
21,003,5.9     
21,005,5.2     
21,007,8.0     
21,009,6.3     
21,011,8.9     
21,013,10.1     
21,015,5.2     
21,017,5.6     
